,代碼,10日均量,60日高點,月營收YoY,投信連買天數
0,9945,5583,37.15,32.95,0
1,9946,1703,30.9,275.36,0
2,9949,212,24.15,-0.53,0
3,9950,367,21.55,-5.44,0
4,9951,133,73.5,-11.24,0
5,9955,6255,35.1,-24.63,0
6,9958,6872,260.0,-12.69,0
7,9960,37,27.25,-17.93,0
8,9962,634,18.9,-32.9,0
9,6661,6,25.3,8.2,0
10,6662,14,39.5,-18.86,0
11,6664,842,184.0,-2.02,0
12,6666,126,72.3,10.84,0
13,6667,4508,193.0,18.77,0
14,6668,7539,77.3,12.13,0
15,6669,2178,2560.0,-23.84,1
16,6670,481,251.5,-3.31,0
17,6671,31,43.8,-9.77,0
18,6672,375,97.5,-15.13,0
19,6674,15,27.5,-11.53,0
20,6679,462,499.0,32.38,0
21,6680,7,85.3,-43.01,0
22,6683,647,319.5,0.34,1
23,6684,2835,124.0,112.4,0
24,6689,286,130.0,22.66,9
25,6690,52,192.5,16.76,0
26,6691,383,409.5,-36.31,0
27,6693,75,82.1,6.66,0
28,6695,3887,95.0,-28.57,9
29,6697,49,60.9,9.21,0
30,6698,336,39.95,-35.43,0
31,6703,240,327.0,36.13,0
32,6706,268,68.3,-49.21,0
33,6708,22,50.8,-0.34,0
34,6712,554,225.0,23.35,0
35,6715,641,214.0,-31.6,9
36,6716,239,138.5,40.95,0
37,6719,1601,315.0,29.35,6
38,6721,16,52.0,11.77,0
39,6727,384,63.9,21.84,0
40,6728,14,143.0,5.67,0
41,6732,572,473.0,-9.59,0
42,6733,219,41.25,262.25,0
43,6735,611,116.5,406.6,0
44,6741,647,101.5,13.19,0
45,6742,1494,91.7,7.13,0
46,6743,896,59.5,84.24,0
47,6747,26,191.0,-8.44,0
48,6751,21,82.7,-20.41,0
49,6752,68,142.0,13.51,0
50,6753,3841,138.0,-35.47,0
51,6754,142,63.9,39.61,0
52,6756,278,273.0,-7.8,9
53,6761,533,96.7,15.16,0
54,6762,5,260.5,-40.02,0
55,6763,25,488.0,-12.67,0
56,6767,30,40.5,14.37,0
57,6768,1230,78.5,24.62,0
58,6770,14602,29.05,-3.88,0
59,6776,172,68.6,-1.48,0
60,6781,271,746.0,-24.41,0
61,6782,1120,269.5,32.19,6
62,6788,441,146.0,15.3,0
63,6789,2924,327.5,21.02,0
64,6790,511,51.3,-0.48,0
65,6791,14,89.8,16.58,0
66,6792,110,89.7,-14.66,0
67,6796,92,105.5,-14.8,0
68,6799,562,213.5,0.86,8
69,6803,30,311.5,4.82,0
70,6804,61,55.4,-51.46,0
71,6805,1696,896.0,37.18,0
72,6806,7889,158.5,102.06,0
73,6807,301,47.5,9.12,0
74,6811,275,346.0,7.27,0
75,6821,37,47.95,-21.72,0
76,6823,37,83.4,-18.19,0
77,6829,796,137.0,-31.55,0
78,6830,432,158.0,-4.71,0
79,6834,31,26.35,13.71,0
80,6835,1220,56.7,19.19,0
81,6840,26,78.8,11.22,0
82,6841,819,95.3,406.59,0
83,6843,15,65.4,-40.13,0
84,6846,17,82.7,1.06,0
85,6855,32,137.5,17.18,0
86,6856,18,69.0,-15.91,0
87,6859,65,142.5,-36.8,0
88,6861,83,86.2,-8.01,0
89,6863,299,174.0,57.97,0
90,6865,10,72.3,1.7,0
91,6870,56,153.0,39.99,0
92,6874,81,131.0,-8.48,0
93,6877,44,36.5,3.58,0
94,6894,224,253.0,91.22,0
95,6895,119,114.5,-34.02,0
96,6901,1145,45.95,27.73,0
97,6904,25,240.0,-4.85,0
98,6916,67,29.5,-33.32,0
99,6922,44,127.0,15.07,0
100,6933,1245,385.0,39.3,0
101,6937,1392,238.5,216.4,0
102,4148,53,54.4,-54.38,0
103,4153,57,40.0,-7.41,0
104,4154,30,16.05,-90.33,0
105,4155,563,25.4,36.21,0
106,4157,1678,15.7,45.71,0
107,4160,72,43.85,2.92,0
108,4161,278,38.9,0.67,0
109,4162,680,110.5,-3.03,0
110,4163,59,128.0,-21.5,0
111,4164,892,61.9,-42.52,0
112,4167,2494,21.75,12.22,0
113,4168,757,28.05,-100.0,0
114,4171,146,39.5,-64.58,0
115,4173,417,23.05,8.13,0
116,4174,436,70.1,94.75,0
117,4175,39,89.4,-0.8,0
118,4183,183,24.65,100.93,0
119,4188,194,37.4,-51.12,0
120,4190,119,57.3,-31.01,0
121,4192,186,55.5,25.51,0
122,4198,213,59.5,27.93,0
123,4205,24,99.5,6.2,0
124,4207,660,19.6,10.61,0
125,4303,11243,61.1,28.49,0
126,4304,122,8.3,-45.41,0
127,4305,31,42.25,6.91,0
128,4306,5790,20.1,1.29,0
129,4401,555,28.2,22.72,0
130,4402,2155,29.45,-77.11,0
131,4406,13,10.2,-42.53,0
132,4413,23,22.9,29.19,0
133,4414,776,3.91,-8.33,0
134,4416,21,106.0,5.42,0
135,4417,92,39.7,-12.64,0
136,4419,53,49.35,50.71,0
137,4420,341,72.1,-3.89,0
138,4426,164,20.6,-33.05,0
139,4430,16,22.45,-24.49,0
140,4432,216,26.05,-60.62,0
141,4433,44,32.45,-10.24,0
142,4438,54,112.5,-15.41,0
143,4439,57,127.5,-7.86,0
144,4440,71,26.1,-4.84,0
145,4442,18,25.7,45.27,0
146,4502,35,36.9,28.86,0
147,4503,458,68.5,14.63,0
148,4506,375,107.0,32.25,0
149,4510,1578,18.05,-5.98,0
150,4513,4101,42.45,34.67,0
151,4523,182,64.4,-1.13,0
152,4526,6690,24.0,-7.73,0
153,4527,144,42.75,12.71,0
154,4528,57,31.75,-32.58,0
155,4529,408,19.0,169.35,0
156,4530,15,7.97,11.49,0
157,4532,3845,26.0,35.34,0
158,4533,34361,40.25,41.37,0
159,4534,354,14.15,-17.01,0
160,4535,68,35.85,-9.08,0
161,4536,206,197.0,-29.17,0
162,4538,108,23.45,-62.71,0
163,4540,429,38.75,-27.67,0
164,4541,903,34.3,15.55,0
165,4542,626,72.9,-12.21,0
166,4543,2103,60.7,-17.96,0
167,4545,497,35.5,-20.63,0
168,4549,49,97.7,-2.57,0
169,4550,368,42.5,-33.18,0
170,4551,162,119.5,-18.81,0
171,4552,220,32.4,-14.05,0
172,4554,80,32.85,7.49,0
173,4555,50,68.5,-28.26,0
174,4556,150,44.85,-10.95,0
175,4557,210,128.5,2.75,0
176,4558,148,27.4,62.69,0
177,4560,127,38.2,9.51,0
178,4561,1053,38.85,0.83,0
179,4562,932,19.55,15.37,0
180,4563,374,53.6,20.79,0
181,4564,693,24.45,-47.24,0
182,4566,218,54.6,-11.03,0
183,4568,12,57.5,-5.87,0
184,4569,16,97.4,8.29,0
185,4571,124,105.0,12.68,0
186,4572,541,177.5,8.1,0
187,4576,990,89.5,-14.53,0
188,4577,19,23.5,-60.8,0
189,4580,132,98.5,-18.47,0
190,4581,88,70.6,-12.33,0
191,4583,379,262.5,2.77,0
192,4584,59,75.0,23.76,0
193,4609,113,8.98,-52.16,0
194,4702,96,14.3,-78.42,0
195,4706,26,33.55,14.73,0
196,4707,625,14.25,-32.87,0
197,4711,35,17.7,-20.05,0
198,4714,9900,27.35,18.99,0
199,4716,4413,17.45,41.1,0
200,4720,720,17.9,7.34,0
201,1472,121,85.6,113.74,0
202,1473,603,32.05,51.99,0
203,1474,217,13.15,25.91,0
204,1475,173,54.0,19.67,0
205,1476,576,579.0,17.92,1
206,1477,1574,407.0,11.96,0
207,1503,15650,344.5,-1.42,0
208,1504,29340,60.8,-16.74,1
209,1506,435,17.65,-14.86,0
210,1512,26,12.15,-17.28,0
211,1513,64566,212.0,12.1,4
212,1514,52073,175.0,19.64,0
213,1515,2090,51.2,261.3,0
214,1517,717,17.8,-28.59,0
215,1519,6043,946.0,48.44,0
216,1521,71,45.55,-21.18,0
217,1522,8599,59.5,-5.29,0
218,1524,8076,37.85,14.31,0
219,1525,52,76.3,-39.88,0
220,1526,155,36.65,-44.08,0
221,1527,692,43.45,-19.53,0
222,1528,1164,16.05,-17.79,0
223,1529,3946,36.55,6.74,0
224,1530,102,33.2,-12.66,0
225,1531,113,13.8,27.23,0
226,1532,4040,41.35,94.36,0
227,1533,162,53.7,-26.36,0
228,1535,669,78.4,26.43,0
229,1536,1957,57.3,-23.73,0
230,1537,119,140.5,2.52,0
231,1538,32,23.95,-55.19,0
232,1539,284,26.55,9.41,0
233,1540,774,19.75,40.06,0
234,1541,32,33.35,19.28,0
235,1558,79,104.0,0.62,0
236,1560,4349,276.5,-4.58,0
237,1565,112,205.0,-5.57,0
238,1568,584,34.55,-25.94,0
239,1569,528,25.7,-18.72,0
240,1570,2242,44.65,-44.7,0
241,1580,171,162.0,-15.84,0
242,1582,3440,93.4,12.05,0
243,1583,47,77.0,-28.25,0
244,1584,5436,36.35,-18.48,0
245,1586,161,32.9,14.09,0
246,1587,7157,49.25,-6.22,0
247,1589,859,63.6,-44.34,0
248,1590,726,1210.0,-4.83,0
249,1591,417,68.2,143.08,0
250,1593,24,52.5,-7.27,0
251,1595,19,37.55,-22.17,0
252,1597,693,79.9,2.63,0
253,1598,156,34.0,-20.01,0
254,1599,52,35.3,74.56,0
255,1603,10191,47.25,-12.27,0
256,1604,1464,30.3,8.92,0
257,1605,35424,39.6,-13.84,0
258,1608,38158,39.0,-9.51,2
259,1609,92356,55.6,-5.26,1
260,1611,1762,17.65,-32.2,0
261,1612,16946,39.0,26.03,9
262,1614,109,39.95,-19.22,0
263,1615,724,60.6,-1.25,0
264,1616,3721,23.45,-1.61,0
265,1617,3786,22.55,-2.75,0
266,1618,20609,48.3,24.28,0
267,1626,111,16.65,-10.63,0
268,1701,846,24.45,2.43,0
269,1702,795,58.8,-0.55,0
270,1707,308,161.5,1.72,0
271,1708,526,32.9,-12.24,0
272,1709,449,21.1,-11.5,0
273,1710,1497,19.65,-18.35,0
274,1711,1408,21.8,-3.2,0
275,1712,548,42.2,3.9,2
276,1713,754,52.6,-14.09,0
277,1714,1094,9.18,-7.16,0
278,1717,4162,33.05,-1.82,0
279,1718,2049,8.03,17.58,0
280,1720,624,68.5,-3.35,0
281,1721,866,16.9,-19.76,0
282,1722,2059,68.7,-13.39,1
283,1723,690,124.5,-24.72,0
284,1725,1046,41.6,-2.01,0
285,1726,24,80.3,-15.98,0
286,1727,1007,33.85,25.86,0
287,1730,35,57.0,-15.39,0
288,1731,806,27.7,-17.17,0
289,1732,170,34.8,-3.39,0
290,1733,1685,37.8,-19.0,6
291,1734,1300,37.95,-19.08,0
292,1735,31,18.2,-4.41,0
293,1736,2716,80.4,12.25,0
294,1737,240,34.7,-5.22,0
295,1742,91,17.2,-48.25,0
296,1752,204,51.6,-30.52,0
297,1760,934,114.0,1.52,0
298,1762,392,54.5,-58.18,0
299,1773,1324,193.0,6.34,0
300,6438,5050,136.5,-7.52,0
301,6441,161,49.5,-60.48,0
302,6442,3929,155.0,39.16,0
303,6443,8409,29.75,-58.97,0
304,6446,1405,338.0,60.51,0
305,6449,1197,93.1,4.37,0
306,6451,1935,224.0,-36.5,0
307,6456,1027,65.3,24.21,0
308,6457,420,69.0,43.13,0
309,6461,155,30.8,457.55,0
310,6462,9876,336.0,-2.74,0
311,6464,111,87.7,-4.66,0
312,6465,89,29.7,-64.78,0
313,6469,338,343.5,7.91,0
314,6470,234,63.7,-34.47,0
315,6472,5249,830.0,-42.53,0
316,6477,926,42.35,-78.89,0
317,6482,34,74.5,46.05,0
318,6485,347,101.5,-27.26,0
319,6486,397,89.1,14.94,0
320,6488,2629,612.0,-15.56,2
321,6491,1397,490.0,14.3,0
322,6492,167,49.2,0.0,0
323,6494,144,89.6,-12.84,0
324,6496,35,29.25,-31.85,0
325,6499,47,47.75,-5.48,0
326,6504,69,77.8,-7.87,0
327,6505,5574,79.1,-4.8,0
328,6506,25,17.45,6.89,0
329,6508,87,34.65,-0.91,0
330,6509,448,40.8,-11.05,0
331,6510,182,569.0,7.02,0
332,6512,13,22.65,-16.48,0
333,6514,125,54.5,6.78,0
334,6515,1503,931.0,50.04,0
335,6516,45,81.3,-39.4,0
336,6517,463,90.5,-23.83,0
337,6523,262,179.0,10.18,0
338,6525,92,68.7,5.83,0
339,6526,787,699.0,17.82,1
340,6527,62,87.7,-24.08,0
341,6530,1080,59.6,-6.93,0
342,6531,2509,544.0,6.76,0
343,6532,894,84.0,-25.32,0
344,6533,697,556.0,48.96,0
345,6535,1660,215.5,3.31,0
346,6538,1858,166.0,25.73,0
347,6541,418,65.2,-69.87,0
348,6542,65,73.0,18.07,0
349,6546,2390,154.5,7.41,0
350,6548,3555,37.65,-4.37,0
351,6552,71,36.15,30.2,0
352,6556,14,91.5,-15.7,0
353,6558,334,26.55,10.8,0
354,6560,34,31.95,-76.98,0
355,6561,93,384.5,7.03,0
356,6568,77,161.0,-15.18,0
357,6569,154,187.5,-8.92,0
358,6570,132,55.8,27.94,0
359,6573,55,14.8,-28.13,0
360,6574,11,52.5,-1.57,0
361,6576,253,107.0,537.37,0
362,6577,286,149.0,0.25,0
363,6578,3462,31.0,-7.17,0
364,6579,234,173.0,-5.92,0
365,6581,63,93.5,52.0,0
366,6582,48,55.5,30.22,0
367,6584,1063,228.5,40.67,0
368,6585,1153,209.0,23.82,0
369,6588,237,40.5,-3.21,0
370,6589,639,98.2,-10.46,0
371,6590,64,104.0,-4.33,0
372,6591,458,69.0,-16.07,0
373,6592,555,125.0,12.26,0
374,6593,925,182.5,13.6,0
375,6596,654,80.5,327.6,0
376,6598,67,24.45,-39.31,0
377,6603,2043,17.6,57.5,0
378,6605,1803,228.0,9.02,9
379,6606,190,27.2,4.52,0
380,6609,144,35.9,-11.11,0
381,6612,185,136.5,14.05,0
382,6613,793,226.5,37.39,0
383,6615,18,48.0,7.5,0
384,6616,225,17.4,68.73,0
385,6624,25,46.0,133.81,0
386,6625,386,112.5,77.51,0
387,6629,173,91.6,70.5,0
388,6640,393,479.0,93.72,0
389,6641,35,45.3,6.98,0
390,6642,115,62.7,2.95,0
391,6643,1564,2005.0,-11.34,0
392,6649,172,32.65,-40.71,0
393,6651,96,87.0,-19.25,0
394,6654,18,59.2,-55.57,0
395,6655,4,122.0,-2.22,0
396,6657,317,62.7,-7.74,0
397,6658,22,45.45,1.78,0
398,1101,21724,33.75,16.36,0
399,1102,4130,42.5,-21.39,0
400,1103,461,18.7,2.31,0
401,1104,2894,33.45,1.49,0
402,1108,1877,16.7,3.09,0
403,1109,827,20.0,-35.42,0
404,1110,210,18.95,4.21,0
405,1201,354,19.1,3.93,0
406,1203,13,58.0,-3.59,0
407,1210,1933,60.5,-10.86,0
408,1213,55,7.34,-69.7,0
409,1215,488,114.0,-8.57,0
410,1216,6928,78.0,16.44,19
411,1217,985,12.2,-10.04,0
412,1218,951,22.75,3.21,0
413,1219,300,19.1,-25.81,0
414,1220,392,15.45,-1.37,0
415,1225,12,57.3,-13.75,0
416,1227,503,38.8,4.37,0
417,1229,802,69.2,-3.45,0
418,1231,222,98.8,-9.26,0
419,1232,56,147.0,-8.56,0
420,1233,13,35.3,16.48,0
421,1234,200,42.05,-7.3,0
422,1235,8,84.2,309.05,0
423,1236,22,24.4,-17.8,0
424,1240,44,53.2,-13.62,0
425,1256,25,267.0,-34.69,0
426,1259,8,76.6,6.46,0
427,1264,12,312.0,-1.94,0
428,1268,99,158.5,39.52,0
429,1301,8188,77.0,-12.22,0
430,1303,8071,64.5,-8.95,0
431,1304,2601,19.15,-13.71,0
432,1305,1787,21.65,-15.69,0
433,1307,884,30.4,8.66,0
434,1308,1032,23.1,-11.43,0
435,1309,567,17.6,-2.0,0
436,1310,944,15.05,-45.24,0
437,1312,2116,14.75,-43.1,0
438,1313,1366,15.55,12.04,0
439,1314,22639,9.89,17.04,0
440,1315,48,73.7,-27.92,0
441,1316,9459,26.2,47.83,0
442,1319,5481,131.5,5.2,1
443,1321,215,37.0,-10.28,0
444,1323,28,31.45,-16.09,0
445,1324,334,17.3,-17.51,0
446,1325,349,42.95,-40.86,0
447,1326,4587,60.3,2.18,0
448,1336,272,23.4,0.13,0
449,1337,342,8.0,61.06,0
450,1338,108,41.1,-33.6,0
451,1339,333,74.2,8.53,0
452,1340,110,11.3,-39.01,0
453,1341,54,65.0,-7.15,0
454,1342,632,141.5,-5.04,0
455,1402,3853,33.25,-0.2,0
456,1409,2405,16.95,26.5,0
457,1410,81,38.45,8.47,0
458,1413,88,9.49,22.2,0
459,1414,535,21.2,-1.42,0
460,1416,943,13.85,-36.78,0
461,1417,303,12.45,-54.52,0
462,1418,99,34.2,-15.35,0
463,1419,61,47.5,9.37,0
464,1423,84,31.35,-37.41,0
465,1432,352,24.75,10.57,0
466,1434,1176,25.1,-3.51,0
467,1435,3,57.7,35.64,0
468,1436,283,116.5,-87.14,0
469,1437,188,33.25,0.78,0
470,1438,372,54.8,-100.0,0
471,1439,78,28.25,-52.76,0
472,1440,1891,16.2,-26.52,0
473,1441,39,14.2,-21.7,0
474,1442,1623,48.55,164.33,0
