,代碼,10日均量,60日高點,月營收YoY,投信連買天數
178,6598,72,24.45,-39.31,0
179,6603,1943,17.6,57.5,0
180,6605,1788,228.0,9.02,10
181,6606,194,27.2,4.52,0
182,6609,130,35.9,-11.11,0
183,6612,181,136.5,14.05,0
184,6613,868,226.5,37.39,0
185,6615,16,48.0,7.5,0
186,6616,226,17.4,68.73,0
187,6624,23,46.0,133.81,0
188,6625,381,108.0,77.51,0
189,6629,174,91.6,70.5,0
190,6640,501,479.0,93.72,0
191,6641,36,45.3,6.98,0
192,6642,99,62.7,2.95,0
193,6643,1601,2005.0,-11.34,0
194,6649,97,32.65,-40.71,0
195,6651,93,87.0,-19.25,0
196,6654,19,59.2,-55.57,0
197,6655,4,122.0,-2.22,0
198,6657,317,62.7,-7.74,0
199,6658,29,45.45,1.78,0
200,4148,53,54.4,-54.38,0
201,4153,42,40.0,-7.41,0
202,4154,29,16.05,-90.33,0
203,4155,549,25.4,36.21,0
204,4157,1480,15.7,45.71,0
205,4160,67,43.85,2.92,0
206,4161,272,38.9,0.67,0
207,4162,670,110.5,-3.03,0
208,4163,60,128.0,-21.5,0
209,4164,923,61.9,-42.52,0
210,4167,2877,22.05,12.22,0
211,4168,752,28.05,-100.0,0
212,4171,146,39.5,-64.58,0
213,4173,414,23.05,8.13,0
214,4174,414,70.1,94.75,0
215,4175,39,89.4,-0.8,0
216,4183,194,24.65,100.93,0
217,4188,191,37.4,-51.12,0
218,4190,80,57.3,-31.01,0
219,4192,189,55.5,25.51,0
220,4198,213,59.5,27.93,0
221,4205,24,99.5,6.2,0
222,4207,662,19.6,10.61,0
223,4303,9518,61.1,28.49,0
224,4304,122,8.3,-45.41,0
225,4305,32,42.25,6.91,0
226,4306,5733,20.1,1.29,0
227,4401,559,28.2,22.72,0
228,4402,2297,29.45,-77.11,0
229,4406,12,10.2,-42.53,0
230,4413,25,22.9,29.19,0
231,4414,748,3.91,-8.33,0
232,4416,21,106.0,5.42,0
233,4417,92,39.7,-12.64,0
234,4419,49,49.35,50.71,0
235,4420,298,72.1,-3.89,0
236,4426,156,20.05,-33.05,0
237,4430,17,22.45,-24.49,0
238,4432,212,26.05,-60.62,0
239,4433,43,32.45,-10.24,0
240,4438,54,112.5,-15.41,0
241,4439,54,126.5,-7.86,0
242,4440,72,26.05,-4.84,0
243,4442,19,25.45,45.27,0
244,4502,33,36.9,28.86,0
245,4503,428,68.5,14.63,0
246,4506,386,107.0,32.25,0
247,4510,1535,18.05,-5.98,0
248,4513,4785,42.45,34.67,0
249,4523,138,64.4,-1.13,0
250,4526,7046,24.0,-7.73,0
251,4527,162,42.75,12.71,0
252,4528,58,31.75,-32.58,0
253,4529,415,19.0,169.35,0
254,4530,24,7.97,11.49,0
255,4532,4519,26.45,35.34,0
256,4533,34958,40.25,41.37,0
257,4534,360,14.15,-17.01,0
258,4535,66,35.1,-9.08,0
259,4536,199,197.0,-29.17,1
260,4538,102,23.45,-62.71,0
261,4540,354,38.75,-27.67,0
262,4541,896,34.3,15.55,0
263,4542,668,72.9,-12.21,0
264,4543,2163,60.7,-17.96,0
