,代碼,10日均量,60日高點,月營收YoY,投信連買天數
178,5007,83,59.3,1.56,0
179,5009,16985,54.7,2.24,8
180,5011,437,26.3,-9.82,0
181,5013,37,35.5,-2.45,0
182,5014,475,14.25,-18.75,0
183,5015,77,45.45,-1.99,0
184,5016,12,28.8,-27.66,0
185,5201,482,39.6,-19.57,0
186,5202,473,26.25,-16.14,0
187,5203,118,93.2,19.99,0
188,5205,5,29.95,214.45,0
189,5206,221,38.45,-100.0,0
190,5209,215,216.5,8.58,0
191,5210,1332,62.4,43.95,0
192,5211,201,27.35,5.05,0
193,5212,124,66.6,50.01,0
194,5213,1221,41.35,1138.26,0
195,5215,118,61.4,5.15,0
196,5220,51,27.95,-20.0,0
197,5222,2138,182.0,48.86,0
198,5223,70,46.5,5.82,0
199,5225,1679,126.0,18.51,1
200,5227,425,47.3,-86.33,0
201,6438,4490,136.5,-7.52,0
202,6441,162,49.5,-60.48,0
203,6442,3445,155.0,39.16,0
204,6443,9255,29.75,-58.97,0
205,6446,1673,338.0,60.51,0
206,6449,1103,99.0,4.37,0
207,6451,1840,224.0,-36.5,0
208,6456,924,65.3,24.21,0
209,6457,312,69.0,43.13,0
210,6461,172,30.8,457.55,0
211,6462,9095,336.0,-2.74,0
212,6464,115,87.7,-4.66,0
213,6465,85,29.7,-64.78,0
214,6469,340,343.5,7.91,0
215,6470,232,63.7,-34.47,0
216,6472,5080,830.0,-42.53,1
217,6477,922,42.35,-78.89,0
218,6482,40,68.3,46.05,0
219,6485,333,101.5,-27.26,0
220,6486,379,89.1,14.94,0
221,6488,2805,612.0,-15.56,0
222,6491,1063,490.0,14.3,1
223,6492,154,49.2,0.0,0
224,6494,131,89.6,-12.84,0
225,6496,31,29.25,-31.85,0
226,6499,43,47.75,-5.48,0
227,6504,72,77.8,-7.87,0
228,6505,5057,79.0,-4.8,1
229,6506,21,17.45,6.89,0
230,6508,88,34.5,-0.91,0
231,6509,486,40.8,-11.05,0
232,6510,197,569.0,7.02,0
233,6512,11,22.65,-16.48,0
234,6514,125,54.5,6.78,0
235,6515,1585,931.0,50.04,0
236,6516,40,81.2,-39.4,0
237,6517,400,90.5,-23.83,0
238,6523,239,179.0,10.18,0
239,6525,85,68.7,5.83,0
240,6526,1328,704.0,17.82,3
241,6527,67,87.7,-24.08,0
242,6530,975,59.6,-6.93,0
243,6531,2332,544.0,6.76,0
244,6532,600,84.0,-25.32,0
245,6533,818,556.0,48.96,0
246,6535,1475,215.5,3.31,0
247,6538,1767,166.0,25.73,0
248,6541,361,65.2,-69.87,0
249,6542,37,73.0,18.07,0
250,6546,2398,154.5,7.41,0
251,6548,3690,37.65,-4.37,0
252,6552,59,36.15,30.2,0
253,6556,15,91.5,-15.7,0
254,6558,332,26.55,10.8,0
255,6560,30,31.95,-76.98,0
256,6561,80,384.5,7.03,0
257,6568,73,161.0,-15.18,0
258,6569,137,187.5,-8.92,0
259,6570,146,55.8,27.94,0
260,6573,52,14.8,-28.13,0
261,6574,12,52.5,-1.57,0
262,6576,236,107.0,537.37,0
263,6577,212,149.0,0.25,0
264,6578,2885,31.0,-7.17,0
265,6579,242,173.0,-5.92,0
266,6581,88,98.0,52.0,0
267,6582,48,55.4,30.22,0
268,6584,882,228.5,40.67,0
269,6585,1201,209.0,23.82,0
270,6588,238,40.5,-3.21,0
271,6589,643,98.2,-10.46,0
272,6590,60,104.0,-4.33,0
273,6591,431,69.0,-16.07,0
274,6592,636,125.0,12.26,0
275,6593,932,182.5,13.6,0
276,6596,819,80.5,327.6,0
277,6598,77,24.45,-39.31,0
278,6603,1942,17.6,57.5,0
279,6605,1695,228.0,9.02,11
280,6606,202,27.2,4.52,0
281,6609,145,35.9,-11.11,0
282,6612,195,139.5,14.05,0
283,6613,856,226.5,37.39,0
284,6615,15,48.0,7.5,0
285,6616,235,17.4,68.73,0
286,6624,33,45.95,133.81,0
287,6625,387,108.0,77.51,0
288,6629,166,91.6,70.5,0
289,6640,522,479.0,93.72,0
290,6641,44,45.3,6.98,0
291,6642,97,62.7,2.95,0
292,6643,1530,2005.0,-11.34,1
293,6649,77,32.65,-40.71,0
294,6651,89,87.0,-19.25,0
295,6654,19,59.2,-55.57,0
296,6655,5,122.0,-2.22,0
297,6657,322,62.7,-7.74,0
298,6658,26,45.45,1.78,0
299,3293,1411,1165.0,31.81,0
300,3294,10725,58.5,20.24,0
301,3296,1988,27.8,2.88,0
302,3297,302,24.5,17.51,0
303,3303,340,34.95,10.14,0
304,3305,2404,78.0,-0.76,0
305,3306,1491,58.7,-6.82,0
306,3308,389,39.3,-91.3,0
307,3310,48,111.0,-18.45,0
308,3311,144,43.95,8.41,0
309,3312,20966,51.5,19.77,0
310,3313,783,28.0,-81.76,0
311,3317,202,57.5,-13.84,0
312,3321,793,21.0,31.56,0
313,3322,1770,27.85,-8.74,0
314,3323,179,28.9,-41.69,0
315,3324,10610,865.0,-16.71,2
316,3325,1682,42.5,-18.31,0
317,3332,49,45.0,-25.32,0
318,3338,2967,76.1,14.53,0
319,3339,6284,41.3,10.86,0
320,3346,1669,51.9,-18.69,0
